Screen Name, Description, User ID, Followers Count 
KBaddess, "Am just a good guy", 776393197903904768, 9 
Bowerz_towerz, "Selling a life style, not just houses.", 2651275525, 442 
pauclaurence, "French-German-English European likes Innovations, Countryside, Visual Arts, Smooth Jazz, Ancient Medicine&Spirituality, Adequate Rights 4 Humans&Animals.", 4397419341, 224 
CreateWfu, "Passionate about #growthhacking #marketing #blogging and #sharktank!  Want free leads? Ready to EXPLODE your twitter? Click the link :)", 4012375683, 1635 
VARsInTheCloud, "Driving transformation in the IT Channel to create profitable, predictable & scalable revenue growth thru cloud & digital biz models. #JeffKlaubert #PatBodin", 4226196015, 542 
Doug_Schwartz, "#GoBlue, #COYS, #WestvleterenXII, #Cowboys, #Nats, #Harbaugh, #PMQs, #CapitolHill. RTs could be anything.", 101541907, 532 
ajaytshaju, "I'M A ROMAN REIGNS FAN I WILL FOLLOW ALL ROMAN REIGNS'S PAGES-I CAN AND I WILL BELIEVE THAT", 3282092130, 311 
compellon, "Compellon empowers #CX and #Marketing professionals w/rapid, #predictive #insights and #prescriptive actions to improve the #custexp. #analytics #data", 1708882812, 927 
coder_subroto, "Hi I'm a #Webdesigner. I have 3 year experience on it. I'm  here to help people by doing their #LandingPage or  #SqueezePage as their #requirement.", 743147283789684736, 2252 
Growfio, "We build free websites and help businesses grow. Say goodbye to setup and build fees.", 4688393352, 978 
NeursEducation, "My Team Members Say I Take Online And Offline Entrepreneurs To The Next Level. info@boenisch.com #NeursEducation #Franchise 
#LeadGeneration #OnlineBusiness", 40831894, 1868 
quitwithjason, "I know how you can get more leads, sales, and signups for your home based business, all online...", 3641593934, 10416 
sphares, "地球", 66168867, 941 
ChrisMefford, "SVP, Henry Cloud Productions.  Host of the Henry Cloud Leadership University podcast. President, Pursuit Community. 

I want to help others lead better.", 721418333623558144, 25 
RyanCoxSEM, "SEO/SEM/Analytics guy living the life in San Diego", 2863962033, 87 
RyanDraving, "CEO of https://t.co/rQUKPlJLDt | ''...helped Comcast Business achieve significant gains.'' | Lead Generation, SEO, PPC, Sales Coach.  https://t.co/FZLLmhgW63", 111359497, 1013 
IamDaddyRich, "producer, artists,  musician", 35334187, 1812 
jsismee, "I'm a busy married #homeschooling #mom of 4 #kids! I'm also a #blogger, #brandambassador, and social media #influencer. #PR #runner #fitness #health #AZ #fit", 26418467, 8978 
Adamcbyoung, "Director of Marketing at Arco Limited.", 48786589, 113 
deepalisharma17, "Tech Blogger. Fashion Enthusiast. Apple Lover. Music Lover. Insane.", 114167402, 4028 
mostafa0116404, "i am  WEB developer and designer", 776202779861848064, 45 
3DPIXELBANANA, "PHOTOGRAPHER -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -          Follow 100% - Unfollow 100%", 4767005375, 4400 
ITechReviewME, "Innovation & Tech is a bimonthly magazine that focuses on disruptive innovations and ICT trends. Our aim is to demystify IT and make IT cool.", 1331248129, 15257 
cadhobo, "Feed moving to cadhobo dot com. Drones are the Architecture (represented in the sky here: https://t.co/EaG57FzOQJ", 1480393044, 234 
RubarocDana, "Rubber Non-Slip Safety Surface:  Why RUBAROC a pool deck? Where you've got water, you've got kids. Concrete just doesn't make sense.", 758688701178273793, 1602 
ramesh6966, "", 715605847481552896, 51 
WritersNetGuide, "•All About Writers •Resources•Nets Best Things for #Writing, Publishing, Book Marketing •#Publishers •#Editors• #IAmWriting #WritingTips #SuccessTRAIN Alliance", 271078173, 27060 
thelovseason, "", 4815829181, 3537 
Convergexyz, "Focused on the intersection of business and technology, leveraging technology to drive business success--and helping our clients do the same", 709378253010501633, 2364 
KReillyLee, "#PRStrategist |Recovering #TVAnchor and #Reporter | #Science and #Health Geek| Devoted #Mom| More Coffee Please kathleen.lee@orcapr.com", 205984404, 1569 
smxlmilan, "#SMXLmilan is the new must-attend digital marketing conference and expo organized in Italy by @biweb #digital #SEM #SEO #SEA #Mobile #Search #Analytics", 735553220383248384, 408 
timmayer, "Executing, thinking, writing, speaking, tweeting about all things SEO, CRO, Internet Marketing and ecommerce!", 26163531, 3497 
iammuhammad_20, "", 3592405695, 2928 
schooldapp, "#1 College Search App. Discover new schools, get expert advice, apply for scholarships, and more! Download via the link below:", 3392866492, 1529 
RonBelBruno, "...is a #NYC #writer, #editor, #writingcoach and #contentstrategist who passionately interprets information. Soon to be #blogging at The Em Dash.", 761074816187142144, 379 
mitul_kumbhani, "", 601980923, 264 
KatieTropp, "Get ALL my music @ https://t.co/YSeXHK7IBR Follow the rest of the sQuad: @Nachimus @EugeneMaya @Blaqmanrecords", 396119892, 2501 
Bully779, "Entrepreneur,Project Manager, Africa, Caribbean and Europe, Alternative Energies, Waste Management EA, Women abuse help and orientation #ascensor ; #roner_kenya", 2539318267, 803 
A_Swipe, "Life gives you options. Choose wisely.", 100815853, 401 
iammuhammad_30, "", 717942809098063873, 1302 
acelerartech, "Acelerar is a leader in providing tailored back-office (BPO) & Virtual Assistant solutions to its global clients.Request a Consultation https://t.co/hJd3xc2fJ6", 192133117, 799 
Donna9376, "Web Content Manager and avid Marketer selling new products and promoting my business. https://t.co/6wgWl316NR https://t.co/VrowSflBKT", 40885665, 53006 
Manage2change, "Change & Implementation Management, Project Management, Program Management, Portfolio Management.", 150281824, 3930 
VRDayATL, "We are VR Day:ATL, a group of academics and business owners hosting VR Day Jan. 12. https://t.co/GvFK1Op1mm https://t.co/acD4fGdeji", 773918292566241280, 51 
SpivaStephanie, "Travel ninja. Friendly social media maven. Passionate beer evangelist. Internet guru. Avid pop culture lover.", 760368436987895809, 68 
northpage, "Leading #digital #marketing intelligence company that empowers #MarketingLeaders to grow their #DigitalMarketing performance. Visit our website to learn more.", 43532803, 598 
HHBakeryCafe, "The Bakery Cafe is a non-profit restaurant that offers creative and healthy food, made from scratch, in a congenial community-based setting in Dudley Square.", 104538341, 6155 
mylovliving, "Enjoy #Love Peace Life with  http://t.co/xdnguWzws8  Motivation,Success at http://t.co/xySHdoLlsj   #Love #Nature, Simplicity, Humbleness, #Healthy #Life..No DM", 317378810, 386539 
infinitecloudca, "#IT and #Technology news tweets and #retweets", 769358301540810756, 2532 
raph_serda, "nekfeu🎶💗demi...", 740560505203490816, 1565 
wesmoss1018, "Roll Tide! respect our elders,protect our kids,honor those that served.PTSD can be treated more effective than what the Vets get now. my company has the answer", 36984352, 305 
Avviso_Media, "Here's what we do: We create epic content for brands. We tell stories and educate audiences. We drive conversation. We Collaborate. + @social_day", 849936362, 2575 
BentePRPhotoGal, "A Public Relations/Photographer enthusiast living in Ottawa who loves to network, photograph events, spending time outdoors with my Jack Russell Terrier, Otis.", 4902721948, 320 
sohnsocialmedia, "Chairman, #C4DigiCon: https://t.co/7jRNKk4OEt. Founder, Sohn Social Media Solutions. Digital #contentproducer and #editor.", 16782725, 1224 
reypopular, "cantante compositor interprete", 775866688420057089, 55 
TalkingStatues, "What would statues say, if they could talk? Started in Copenhagen 2013 now coming to New York as a Public Art Project https://t.co/GllNjEUsLJ", 1880980837, 12527 
Joel705031, "My self joel i m electrical engg, i like to write jokes and short motivational story,
I have never in my life learned any thing from any man who agreed with me", 731216300760932353, 6312 
Jear_Blast, "I'm Jeremy and I'm a Mormon :D I follow back as soon as possible. No follow = unfollow", 40921314, 1339 
EddiePrentice, "Social Business | Change Management | Workplace Collaboration | IBM Verse | IBM Connections | Globocol Ltd | Cyclist #socbiz #HR #NewWayToWork @okta", 24188138, 797 
MicheleWilliamz, "Prof. Michele Williams @Cornell @UIowa, a researcher & speaker, focusing on #Entrepreneurship, #Gender, #Leadership & #Communication. She teaches negotiations.", 4444096709, 1216 
safder8800, "It is enough to fall in love with the dark will be one of the", 760517688435367937, 3202 
coffeeandjunk, "Highly opinionated human being with a passion for design, business, and tech. I publish my thoughts here: https://t.co/rpH5wF4h6T", 254316683, 848 
mackeytweets, "Founder/CEO at HCDware. Connoisseur of fine parking spaces. Opinions are my own. Please resist the urge to add me to lists.", 4689512546, 516 
theonlywtk, "#Web Designer & Developer | Node.js lover | WordPress master | Real-life Ninja | #entrepreneur | #Productivity Hacker", 761166820195827712, 313 
LizyClever, "", 4790655861, 3890 
giscartosur, "", 199339913, 21 
webguy_de, "", 813162602, 68 
lacellabella, "Melodymaker, heart and soul #singersongwriter folky, gutsy #vocalist and flamin' #cellist free music: https://t.co/Kocp8zjfhH", 16027289, 2558 
CareerExpertsUK, "Career advice delivered by industry experts.", 3447112943, 11833 
surbhisahu88, "A Content Writer || Love Creative Writing || An Avid Blogger || Fond of writing Short Stories", 1291409664, 339 
DavidCollab, "On #mobile solution, startup launch in '17. Love innovation, #inclusion / Former marketing, creative dev / @IEbusiness alumni / Based in #CanaryIslands : )", 741393625217650688, 174 
niklasbreuch, "#Magenta ist mehr als nur #Telekommunikation, #Magenta ist eine #Einstellung!!! #MegaDeal #TopApps #GetThanked #MagentaMittwoch", 115729971, 282 
tomtravel2, "Tom Lewis is #blogging about world #cruises and #travel", 16442512, 19994 
jYoHe_FajardoC, "Reguee y hip hop buena combinacion..!!", 281406858, 8253 
seanwillard, "Social Entrepreneur, Speaker, Coach, Author, Networker, Pharmacist , Unashameably Grace-Full , Allergic to Negative people!", 18673288, 6311 
TheGermanSheps, "German Shepherd worshipper!", 755365579159179264, 15 
socialxpresso, "Social Engagement Simplified", 753296289878581248, 330 
HoweRoyal, "Creator & star of Suddenly Royal for @DiscoveryComm / @TLC, married to @SuddenlyQueen, father of The Grace, King, pontificator, bad TV liberator.", 146995537, 11347 
wnyanswerman, "Helping families earn more income and become properly protected, debt free, and financially independent.", 18190616, 278 
Alandisland2016, "social media advertiser, Thinktank,.Amatour websitebuilder,Shipping Industry Lobbyist. Company start up entreprenour.Swedish speaking,but tweet in English", 711829819844136960, 1523 
laksh_gupta123, "Me ? Weird ? Bitch Please!! I am a Limited Edition 👑
Proud Indian 🇮🇳", 2909936707, 1300 
Fantiniastic, "✯✯✯I talk on the radio. It's fun.✯✯✯                ✪✪✪✪ QX104 Sat 1-5pm ✪✪✪✪✪                 ❄ Beer League Hockey Champion ❄", 16615549, 2991 
PaulVeillard, "Official twitter account of Paul Veillard. Founder of VEIL Institute©. @veilinstitute", 2267899282, 560 
jakehalverson, "Techoholic ● Digital Marketing ● Cybersecurity ● IT ● Proud Father & Husband ● MN Sports Fan ● Guitar Addict ● Protecting Your Company's Physical & Cyber Assets", 69952510, 590 
dishawn_stoned, "https://t.co/FnxHoZoNlZ XGN FOUNDING FATHER https://t.co/g2KUn3xycj follow @Mr_xgn @zong_xgn @xgn_towlie_7 @officialxgn @ravens6576 XGN CEO", 189432899, 2498 
stijngrove, "Holland! Dutch Data Center Association, Digital Gateway to Europe, farming, sailing, fashion and a Mini driver", 56654765, 544 
imagealerts, "This is the official account of Image Magazine, The Largest Jewish Family Magazine published monthly in Brooklyn.", 75089854, 4022 
DiscoverOrg, "Leading sales & marketing intelligence tool used by over 2k of the world's fastest growing companies to accelerate growth.", 39770849, 5872 
DocKilledafew, "dreamer, youtuber, gamer, F1 fanatic, #mclarenFTW
twitch - doctorkilledafew
YouTube - https://t.co/nRbSwBi9Km", 279014437, 489 
nicejanice19, "Enjoying the ride. ♥", 125619172, 1620 
WenVantrump, "There is no point at which you can say, Well, I'm successful now. I might as well take a nap", 3313359606, 1066 
omarlafa, "Amante al deporte, adicto a la electronica y fiel a la libertad de expresion!!", 204526613, 827 
Lessynz, "Author of Metamorphosis of a Butterfly: Collaborations of My Mind AVAILABLE NOW AT https://t.co/gFz0qDuqIt, and Amazon. CEO of RREM Business Consulting.", 354457319, 1447 
Screenflex, "Simple solutions for maximizing your space. For over 25 years, we've led the industry in manufacturing the highest quality portable room dividers on the market.", 81986902, 750 
lilienne_blake, "", 776433902470565889, 3 
SGStheWoodlands, "We create customized energy efficiency plans for homes and businesses. Serving the greater #Houston area.", 770471614744002560, 52 
Opilio, "Award-winning specialists in #Digital #Recruitment. Follow us for the latest #jobs in #Marketing, #IT and #Technology, career advice and recruitment news.", 202264372, 5360 
manfaima1, "Used to take photo outside @bbctheoneshow 2014 -2015 May @itvthismorning contributor 2011 3 times", 168519569, 566 
CareerAcme, "Helping you find a fulfilling career. Check out https://t.co/AgREwSXvYV for job search tips and  actionable career advice. Take control of your career now!", 733955965087830016, 895 
stanleymorris79, "#SingerSongwriter who perform at random places & a #Music #Tutor conducts music lesson in schools & at home https://t.co/KjhsTPBjuL", 232028888, 214 
kmh_543, "| Producer | Font of knowledge | Marketeer | Webmaster | Agile Team Lead | Dream Maker | Angel Investor | butterfly trainer", 27859587, 1551 
Daws_Fern, "AM @Cactus_Connect - My interest: #Digitalmarketing, #Onlineretail, #eCommerce, Social Media, Technology, Business feed, Current affairs, Witty quotes & Humour.", 832763460, 678 
steyn_riaan, "A believer that free land will not solve SA's problems.", 2169228027, 63 
savannahc68, "Never give up on your dreams", 46901286, 1003 
_kam_or, "Perfectly imperfect❣", 80825255, 2116 
snadguy, "Born on the first day of the year. I (un)follow every (un)follower back. I rep #Nigeria #Twitter92 #CFCFAMILY #KTBFFH 19/05/12", 136070932, 2517 
Taller_Mobile, "Los smartphones son los instrumentos que mejor acercan a las personas con sus marcas e intereses.", 3347602509, 748 
LeenaGrdahl, "Media entrepreneur and Translator in Finland & Sweden interested in organic/regional Food, society development, Space exploration and all Social/Media issues.", 1410236557, 970 
JacquelineM8888, "I'm a Teacher, Writer & Artist. Write MG, YA, Fantasy, Cartoons, Graphic Novels. Most stuff turns into Comedy. Also song writing.", 603204564, 5396 
therivercityma1, "Owner Of The River City Market AND SKINNY BODY CARE DISTRIBUTOR In The Business Of Helping People Become Healthy And Financially FREE!!", 3096676272, 2785 
URGriffinGa, "We connect small businesses to more customers.", 706931064741240832, 35 
ashokism, "IIT▪ISM▪Symbiosis▪eGov
Migrated from village to concrete jungle,
in love♥with humanity,♥Poetry,
Let's make +ve diff
▪Hindi/Eng/Kannada/Bengali▪", 106554275, 932 
aloulouomar, "PDG ET MANADGAIRE GOOGLE ET GOOGLE+ 
MANADGAIRE FACEBOOK
FONDATEUR PDG TWITTER", 621366615, 601 
ClassifiedNJ, "NJ Classified ads & resources in #NewJersey. Post your FREE #ad, #Advertising #DigitalMarketing #Classifieds #Socialmedia #B2B #B2C", 1556687533, 1009 
TheANMGroup, "A New Mile is a content Production and Advertising platform which functions primarily to create brand awareness and marketing solutions", 758010049411309569, 2352 
thatpankaj, "Striving for things that money can't buy. LEARN. EVOLVE. LEAD | Business Analyst", 2729589386, 1136 
bebopstudio, "Agencia de comunicación online especializada en estrategia, definición, diseño y desarrollo de proyectos Web y soluciones multicanal.", 146118499, 534 
Shaynaleh, "Content Writer at @rankyteam. Contributor at @Entrepreneur. Silicon Valley Native. Newly Tel Avivian.", 118245777, 188 
nurelotraining, "#ITIL Training Broker Solutions | #ITSM | #CIO #ITDirector", 2800173667, 6003 
awo_edith, "||100% Ewe_GirL||  @awoedith(IG) ||UCC||#RecycleUpGhana #CropScientists🌾 #Ananse_Foundation #TwitterFreak  #The_Nerd #FreeThinker #JanuaryBorn", 4173820348, 3783 
shahzad_jamil79, "#FullStack #PHP #developer including all Major #OpenSources of PHP like #WordPress, #Drupal, #Magento, #OpenCart + #Shopify & #BigCommerce", 1322947952, 2356 
McLinked, "#LinkedIn trainer providing insider tips & tricks to build your #business. #SocialSelling Follow me for the #best LinkedIn #BizTips available!", 2372293610, 97 
xmjc99, "News in Technology, Finance, Business, Sports, Mobile, Apple, and Trending Stuff!", 700965078, 865 
kengordon, "The Secret Agent of Real Estate - Helping buyers and sellers discover the secrets to successful transactions so that everybody wins. - USMC Veteran", 17249859, 3134 
joleenferris, "Reporter,  WKTV / NEWSCHANNEL 2, Utica, NY.   Be careful when you cast out your demons that you don't throw away the best of yourself ~Friedrich Nietzsche", 43931505, 1265 
SincerelyAnissa, "call me ac 💋", 211597305, 3760 
TipMahoney, "Veteran NY newspaperman. Boston native. Formerly with NY Daily News, Albany Times Union, Burlington Free Press", 2241127644, 3075 
WitterSpain, "Decoración, vino, compras, viajes,... lo normal xD", 2209595989, 3734 
brianhenry63, "Writer of humorous fiction, sci-fi, fantasy. My 'awesome' and 'amazing' novel I Was a Teenage Ghost Hunter is available on Amazon: http://t.co/6991p4uuVC", 105331981, 16209 
Footstepsonline, "Little Footsteps is a UK shop on Ebay selling children's clothing", 3266472242, 709 
oertman, "#ContentMarketing Enthusiast, #BerlinWedding Fan (The Next Big Thing), Pharma Marketing, Social Media Marketing and Selling", 21440932, 986 
sunflowerarc, "Retired Educator", 32966931, 735 
everhippie, "Follower of Jesus Christ, still a hippie...and I love to run, watch soccer, and I am learning Crossfit from the best at Crossfit Redemption.", 130170807, 507 
GaggleInc, "We all have ideas but most won't fly. Let's change this. We'll find big ideas and people with them. We're the inventors and sharks. - where ideas take flight™", 4833969531, 4787 
iam_JYJ, "Just Wanna Make Heaven", 138854541, 1759 
makeitbloom, "Bloom is a Paid Search marketing agency specializing in PPC campaign management, optimization and consulting.", 8008352, 716 
whatusersdo, "International #UX Testing platform that reveals the WHY of user behaviour. Understand your audience to increase customer satisfaction, sales & engagement. #CRO", 18330725, 8877 
ManuxD92, "Just let the good vibes flow in ✌️", 31150495, 1253 
PaigeDias, "➵Instagram @paigedias11 ❁snapchat @paigedias @DaltonHagoodAU = bae", 72330171, 874 
yojaynoni, "In order to succeed, ur desire 4 success should be greater than ur fear of failure. Every setback is a Setup for a Comeback. Pin:29159797,   08162507433(whsapp)", 203144903, 569 
goughieee6, "NFFC Fan//DJ & Producer//Love my Music&Cars//   /\  #TeamLH  Also cover #BTCC for @LTMsport", 116779603, 2027 
Kellyluxe, "Female. I collect seashells 🐚 I love dogs and the beach. A fan of history...", 33593024, 6019 
ivandeleonpaz, "Consultor Empresarial / TSU en Comercio Exterior (USB) / Licenciado en Desarrollo Empresarial. Locutor Profesional y Diplomado en Capacitación Docente (UNEFM)", 92337897, 665 
weightlostdiet3, "Am Daniel.....I love to see everybody happy about their physique and to maintain a balance diet.", 771041247020580864, 133 
eibarraz, "My preferences: Volley-ball, basket-ball, fut-ball, reading, Movies and play with my childs...", 57719720, 518 
i_rihani, "", 716999511407738880, 10 
TwoManPowerTrip, "Two Man Power Trip on iTunes! Booking talent, serious inquiries only. Please email Bookings@tmptofwrestling.com", 95790467, 30333 
celeryfarm, "Projects include the Celery Farm Blog, my birding column in The Record,  Bald Eagle eBook for Duke Farms, and High Mountain upgrades for The Nature Conservancy.", 61649601, 231 
ivanrfcom, "Systems Engineer. Software, website and mobile app developer.
Musician, guitarist, singer, songwriter.", 758454084248690688, 898 
LisaNormanPR, "Owner Breast Cancer Journey Support | Founder For The Love of Cups | Marketing Director | High Heel Enthusiast https://t.co/XwzAiPEyDm", 1172967248, 1940 
Dukascopy_TV_ES, "#Dukascopy #forex TV es un nuevo proyecto #informativo que brinda alta calidad de #analisis de #mercados y #monedas directo a tu pantalla", 2778659701, 70641 
PappatheG, "Lord have mercy on my soul. God is the greatest. Geno!! @genodagrt RIP", 132346262, 2258 
northboundwear, "NorthBound: a new form of streetwear designed for young entrepreneurs, by young entrepreneurs. 
You are what you wear, so wear NorthBound.", 763927001686118401, 14 
mohpras, "Dentist , \metalhed/", 719446115465043968, 88 
STuppurainen, "A comms person and a single mom with attitude. Lives in Helsinki. Appreciates good upbringing. Uses no emoticons.", 419509112, 274 
empiregroupug, "Your one-stop center for Building Construction, Architectural plans, Engineering &Real Estate Consultancy. Service with excellence. Call/Whatsapp +256712924378", 3222279669, 19869 
SimonettaLein, "The Wishmaker❤Fashion-Influencer-Huff Po Writer-Millennial-Activist #Ihelpwishescometrue The Wishwall Foundation https://t.co/gqDx61QrUl", 486731383, 298229 
TheRealTara, "Award Winning Social Media Personality #BrandAmbassador / #CurrentEvents / #EntertainmentNews / #MusicBusiness / Instagram: TheRealTaraonTwitter", 24973048, 27034 
dhotman_design, "Owner/Graphic Designer at d'Hotman Designs. 
Dedicated to Creativity, Inspiration and Design. 
Mom of two boys! Have fun and live life to the fullest!", 4892655315, 74 
DanielGalaxy5, "‡ Leader of Yakuza Gang ‡   

                             ‡ No chance for a man to LIVE ‡
           #Single #LewdRp", 755013967227920385, 140 
RewardMyShoppin, "Start getting rewarded with a #PersonalShopper for @ShopYourWay rewards #coupons #fashion #food #travel #home #appliances https://t.co/IP2xNG8s1Z", 2924540606, 1152 
northlondonlass, "I'm a Londoner born and bred. Saving money & making thrifty ways to enjoy our breathtakingly beautiful, but also sixth most expensive City in the World, London", 755741851936849920, 205 
CharmainePrins1, "", 769147374577025024, 2 
pistolmeth, "im highly caffeinated, student, breaking sad, hockey loser, probably staring into the abyss at my mineral collection- I don't like going out", 350091389, 5224 
soyomarromero, "Mi trinchera se llama Social Media. Amante del DIgital Marketing, biker y loco por el café. #FRMC", 2463611173, 269 
Sampsako, "Interests: Stocks and Markets, Business, BI&Data,IoT,Sports", 629624167, 365 
virgy1983a, "siempre bella y con mucha 
vocación a mi amada enfermería.
con una hermosa familia que me apoya siempre.", 4764734472, 359 
BuildABizUK, "Free advice & guides to help your #startup or #smallbiz thrive! The only dedicated UK business hub with ALL the topics you need. New guide 9.30am (GMT) daily!", 4157767635, 460 
anjana_91, "#gamer #newsreader #Author #BusinessAnalyst", 740793898520449024, 33 
Ferrarizee007, "", 2798633689, 49 
FridaysWVicky, "Mom of 2, traveler, skier, soccer coach, bilingual, coffee lover. Blog at http://t.co/VaJ96HFeO2 where I enjoy helping others with websites and blogs.", 2992131753, 13036 
JavierVazquezQu, "Digital Marketing Manager, consultor independiente para PYMEs. 
Sígueme en https://t.co/r939SF1uFZ y Snapchat: javiervazquezqu", 733219118, 1705 
FutureStartUps, "We share Startup stories, Ideas, tips & news. All to help you create your future. We're always Learing & having fun too. Stories from the Machine ;) #StartUps", 761940560341065728, 507 
christylowe28, "Wife, Mom, Wellness Coach. I love all things healthy living, fitness, and nutrition related.", 735210897006809088, 256 
SaraRosett, "Writing mystery and intrigue with humor on the side. Fan of dark chocolate. Voracious reader. Interested in all things bookish.", 37100957, 1328 
FuturePositive, "Entrepreneurial Thinking & Doing. Ideas are Vibrations from the Soul that Wake Up & Shake Up the Creative in You. Create your Journey & Create the Future #True", 24178759, 6170 
PanchoHermoza, "Publicista, escritor y locutor en @radio_oxigeno. Soy un inadaptado altamente funcional. Mis opiniones son personales.", 12613452, 8011 
JasonKing4CN, "Hail The Almighty Head of Marketing at @4CornerNetworks Love All Things #SocialMedia & #Marketing & Cups of Tea! :)", 4111874056, 1007 
Twenty5Ventures, "Big things have small beginnings, we build great entrepreneurs.", 746446279241146368, 623 
Heath_Robinson_, "Founder @SprinkMarketing | Actor | Film Producer/Co-Owner BlackOut Studios | Servant of Christ | #ThinkPositive | Host/MC | Inquires heath@sprinkmarketing.com", 913353535, 34481 
RenderMediaWeb, "Web Design | SEO | WordPress Development", 770674902852567040, 99 
JayantJayneel, "Wanderer by soul, writer by heart", 755396338293084161, 20 
CarlosPowellJr, "#K9PRODUCTIONS on Instagram @k9productions
(478) 231-7321 ! SERIOUS INQUIRIES ONLY", 583187930, 1728 
hausneuermedien, "Seit 1997 bieten wir als Fullservice-Webagentur Web, Print & Support an. 2013 haben wir uns zu einer Werbe- & Eventagentur erweitert.", 744760309, 52 
Drew_Merrels, "Busy dad that loves everything #ecommerce related and helping companies achieve #UnifiedCommerce without re-platforming. @orckestra #CommerceFreedom", 4041710415, 260 
SusannaHardy007, "American who was born & raised in #Chuncheon, Korea.   Wife, mother, grandmother who is an eternal optimist with realistic expectations.", 3781948933, 1260 
juicedUP_Elz, "Creator/CEO of #CurrentMovement Cap Current 😅 ✈️ Do it for Bally Columbus,OH ⭕️🙌🏽I⭕️", 189654343, 3645 
Holiday_Desire, "https://t.co/jVvZqtrO56 is a Leading #Holiday company in London(UK). We help the UK peoples to meet their Holiday needs. https://t.co/dqnFL0Ig9g", 3297870271, 1820 
Claudia17521952, "JUSTIN FALLOWED ME FROM THE 09/06/2016 7:05PM OMG, I still do not believe it,Thank's so much Bieber 
❤❤❤❤❤❤❤❤❤❤@justinbieber  love'u baby", 707758680058556417, 157 
ananyaasocial, "CEO, Digital Content, Web-series, Media, Entertainment Technology, Live Streaming, Strategy, BigData, Machine Learning Instagram : @ananyaasocial", 754978773162799104, 953 
OfficialChork, "Checkout our website https://t.co/JjuGksCCEb Find all the information you need on The Chork! 877-424-6757", 764115283435028480, 60 
fightandwork, "Head of #R&D at #MECAMIDI. #Phd #Engineer. #hydro #hpc #cfd #fluidmechanics.#Acemat @rjj_official Warrior.", 3170048411, 115 
CPPSFan, "Pengur/iPenguin/SpeedyCPPS", 2367279846, 1425 
AnnaSafaryan6, "", 4816269791, 2 
Kohler9313dk, "23 trying to be a good person black and white +size women admirer I love news I love to know everything I'm a proud nerd and movie enthusiast video game player.", 754027806321934336, 1414 
Raymond_Hatcher, "Batman-Dracula-Cuba-Reading-Tatts-Music-Mustang V8-Mini Cooper-Terry Pratchett-Discworld-EW&F-Tech & Gadgets", 2430746231, 1384 
CoasterProOnThe, "CPOTG can Clean your console and dash! #CPOTG", 743522372808998912, 512 
KieranMMorris, "Digital Marketer @JuvoDigital", 3058451501, 75 
